transect_id,x1,y1,x2,y2
0,16155510.0000006,-4594050.0,16156709.9999994,-4594050.0
1,16155510.0000003,-4594100.09009009,16156709.9999997,-4594100.09009009
2,16155540.0000003,-4594120.18018018,16156739.9999997,-4594120.18018018
3,16155589.73667503,-4593841.395593858,16156630.26332497,-4594439.144946682
4,16156089.63963964,-4593570.0000003,16156089.63963964,-4594769.9999997
5,16156039.54954955,-4593570.0000003,16156039.54954955,-4594769.9999997
6,16155989.45945946,-4593570.0000003,16155989.45945946,-4594769.9999997
7,16155360.0000003,-4594190.630630631,16156559.9999997,-4594190.630630631
8,16155949.279279279,-4593630.0000003,16155949.279279279,-4594829.9999997
9,16155303.248104647,-4594168.4635975845,16156496.751895353,-4594293.158024037
10,16155300.0000003,-4594280.900900901,16156499.9999997,-4594280.900900901
11,16155940.99099099,-4594889.9999997,16155940.99099099,-4593690.0000003
12,16155961.081081081,-4594919.9999997,16155961.081081081,-4593720.0000003
13,16156011.171171172,-4594919.9999997,16156011.171171172,-4593720.0000003
14,16156061.261261262,-4594919.9999997,16156061.261261262,-4593720.0000003
15,16156709.9999997,-4594318.6486486485,16155510.0000003,-4594318.6486486485
16,16156131.441441441,-4594889.9999997,16156131.441441441,-4593690.0000003
17,16156151.531531531,-4594859.9999997,16156151.531531531,-4593660.0000003
18,16156201.621621622,-4594859.9999997,16156201.621621622,-4593660.0000003
19,16156251.711711712,-4594859.9999997,16156251.711711712,-4593660.0000003
20,16156271.801801803,-4594889.9999997,16156271.801801803,-4593690.0000003
21,16156321.891891891,-4594889.9999997,16156321.891891891,-4593690.0000003
22,16156371.981981982,-4594889.9999997,16156371.981981982,-4593690.0000003
23,16156392.072072072,-4594919.9999997,16156392.072072072,-4593720.0000003
24,16155810.0000003,-4594352.162162162,16157009.9999997,-4594352.162162162
25,16156432.252252253,-4594979.9999997,16156432.252252253,-4593780.0000003
26,16156482.342342343,-4594979.9999997,16156482.342342343,-4593780.0000003
27,16156532.432432432,-4594979.9999997,16156532.432432432,-4593780.0000003
28,16155960.0000003,-4594402.522522522,16157159.9999997,-4594402.522522522
29,16157189.9999997,-4594397.387387387,16155990.0000003,-4594397.387387387
30,16156020.0000003,-4594382.702702703,16157219.9999997,-4594382.702702703
31,16156642.792792793,-4595009.9999997,16156642.792792793,-4593810.0000003
32,16156692.882882884,-4595009.9999997,16156692.882882884,-4593810.0000003
33,16156742.972972972,-4595009.9999997,16156742.972972972,-4593810.0000003
34,16157369.9999997,-4594386.936936937,16156170.0000003,-4594386.936936937
35,16156813.153153153,-4594979.9999997,16156813.153153153,-4593780.0000003
36,16157459.9999997,-4594376.756756756,16156260.0000003,-4594376.756756756
37,16157459.9999997,-4594326.666666667,16156260.0000003,-4594326.666666667
38,16157459.9999997,-4594276.576576577,16156260.0000003,-4594276.576576577
39,16157429.9999997,-4594256.486486486,16156230.0000003,-4594256.486486486
40,16157429.9999997,-4594206.396396397,16156230.0000003,-4594206.396396397
41,16157429.9999997,-4594156.306306306,16156230.0000003,-4594156.306306306
42,16157429.9999997,-4594106.216216216,16156230.0000003,-4594106.216216216
43,16157429.9999997,-4594056.126126126,16156230.0000003,-4594056.126126126
44,16157429.9999997,-4594006.036036036,16156230.0000003,-4594006.036036036
45,16156834.054054054,-4594559.9999997,16156834.054054054,-4593360.0000003
46,16157459.9999997,-4593935.855855856,16156260.0000003,-4593935.855855856
47,16156904.234234234,-4594529.9999997,16156904.234234234,-4593330.0000003
48,16156320.0000003,-4593964.324324325,16157519.9999997,-4593964.324324325
49,16156944.414414415,-4594589.9999997,16156944.414414415,-4593390.0000003
50,16157549.9999997,-4593945.495495495,16156350.0000003,-4593945.495495495
51,16157579.9999997,-4593925.405405405,16156380.0000003,-4593925.405405405
52,16157579.9999997,-4593875.3153153155,16156380.0000003,-4593875.3153153155
53,16156965.225225225,-4593240.0000003,16156965.225225225,-4594439.9999997
54,16157549.9999997,-4593805.135135135,16156350.0000003,-4593805.135135135
55,16156925.045045044,-4593180.0000003,16156925.045045044,-4594379.9999997
56,16157519.9999997,-4593734.954954955,16156320.0000003,-4593734.954954955
57,16156925.135135135,-4594289.9999997,16156925.135135135,-4593090.0000003
58,16156975.225225225,-4594289.9999997,16156975.225225225,-4593090.0000003
59,16156964.684684685,-4593060.0000003,16156964.684684685,-4594259.9999997
60,16157549.9999997,-4593624.594594595,16156350.0000003,-4593624.594594595
61,16157549.9999997,-4593574.504504505,16156350.0000003,-4593574.504504505
62,16156965.585585585,-4594139.9999997,16156965.585585585,-4592940.0000003
63,16157015.675675675,-4594139.9999997,16157015.675675675,-4592940.0000003
64,16157065.765765766,-4594139.9999997,16157065.765765766,-4592940.0000003
65,16157115.855855856,-4594139.9999997,16157115.855855856,-4592940.0000003
66,16157165.945945946,-4594139.9999997,16157165.945945946,-4592940.0000003
67,16157789.9999997,-4593513.963963964,16156590.0000003,-4593513.963963964
68,16157819.9999997,-4593493.873873874,16156620.0000003,-4593493.873873874
69,16157819.9999997,-4593443.783783784,16156620.0000003,-4593443.783783784
70,16157246.306306306,-4594019.9999997,16157246.306306306,-4592820.0000003
71,16157266.396396397,-4593989.9999997,16157266.396396397,-4592790.0000003
72,16157909.9999997,-4593383.513513514,16156710.0000003,-4593383.513513514
73,16157909.9999997,-4593333.423423423,16156710.0000003,-4593333.423423423
74,16157939.9999997,-4593313.333333333,16156740.0000003,-4593313.333333333
75,16157939.9999997,-4593263.243243244,16156740.0000003,-4593263.243243244
76,16157366.846846847,-4593839.9999997,16157366.846846847,-4592640.0000003
77,16157969.9999997,-4593193.063063063,16156770.0000003,-4593193.063063063
78,16157969.9999997,-4593142.972972973,16156770.0000003,-4593142.972972973
79,16157342.882882884,-4592520.0000003,16157342.882882884,-4593719.9999997
80,16157939.9999997,-4593072.792792792,16156740.0000003,-4593072.792792792
81,16157302.702702703,-4592460.0000003,16157302.702702703,-4593659.9999997
82,16157252.612612613,-4592460.0000003,16157252.612612613,-4593659.9999997
83,16157819.9999997,-4593042.522522522,16156620.0000003,-4593042.522522522
84,16157227.567567568,-4593599.9999997,16157227.567567568,-4592400.0000003
85,16157277.657657657,-4593599.9999997,16157277.657657657,-4592400.0000003
86,16157297.747747747,-4593569.9999997,16157297.747747747,-4592370.0000003
87,16157317.837837838,-4593539.9999997,16157317.837837838,-4592340.0000003
88,16157367.927927928,-4593539.9999997,16157367.927927928,-4592340.0000003
89,16157388.018018018,-4593509.9999997,16157388.018018018,-4592310.0000003
90,16157438.108108109,-4593509.9999997,16157438.108108109,-4592310.0000003
91,16157488.198198197,-4593509.9999997,16157488.198198197,-4592310.0000003
92,16157471.711711712,-4592340.0000003,16157471.711711712,-4593539.9999997
93,16156860.0000003,-4592978.378378378,16158059.9999997,-4592978.378378378
94,16156860.0000003,-4593028.468468469,16158059.9999997,-4593028.468468469
95,16157441.441441441,-4592460.0000003,16157441.441441441,-4593659.9999997
96,16156830.0000003,-4593098.6486486485,16158029.9999997,-4593098.6486486485
97,16157458.738738738,-4593719.9999997,16157458.738738738,-4592520.0000003
98,16158089.9999997,-4593101.171171172,16156890.0000003,-4593101.171171172
99,16158119.9999997,-4593081.081081081,16156920.0000003,-4593081.081081081
100,16157549.00900901,-4593659.9999997,16157549.00900901,-4592460.0000003
101,16158179.9999997,-4593040.900900901,16156980.0000003,-4593040.900900901
102,16158179.9999997,-4592990.810810811,16156980.0000003,-4592990.810810811
103,16157609.279279279,-4593569.9999997,16157609.279279279,-4592370.0000003
104,16158239.9999997,-4592950.630630631,16157040.0000003,-4592950.630630631
105,16157679.45945946,-4593539.9999997,16157679.45945946,-4592340.0000003
106,16158261.07817361,-4593123.032864197,16157138.92182639,-4592697.868036703
107,16158329.9999997,-4592890.360360361,16157130.0000003,-4592890.360360361
108,16158359.9999997,-4592870.27027027,16157160.0000003,-4592870.27027027
109,16158252.773020094,-4593162.48815579,16157267.226979906,-4592477.87220457
110,16157809.90990991,-4593419.9999997,16157809.90990991,-4592220.0000003
111,16157830.0,-4593389.9999997,16157830.0,-4592190.0000003
112,16158340.620584182,-4593174.394860096,16157419.379415818,-4592405.424959723
113,16157900.18018018,-4593359.9999997,16157900.18018018,-4592160.0000003
114,16157920.27027027,-4593329.9999997,16157920.27027027,-4592130.0000003
115,16158512.972685527,-4592984.944677374,16157427.027314473,-4592474.334601904
116,16158569.9999997,-4592679.54954955,16157370.0000003,-4592679.54954955
117,16158599.9999997,-4592659.459459459,16157400.0000003,-4592659.459459459
118,16158615.174838325,-4592771.922785623,16157444.825161675,-4592506.815953115
119,16158050.720720721,-4593209.9999997,16158050.720720721,-4592010.0000003
120,16158689.9999997,-4592599.189189189,16157490.0000003,-4592599.189189189
121,16158719.186312325,-4592610.336300378,16157520.813687675,-4592547.86189782
122,16158719.9999997,-4592529.009009009,16157520.0000003,-4592529.009009009
123,16158161.081081081,-4593119.9999997,16158161.081081081,-4591920.0000003
124,16158211.171171172,-4593119.9999997,16158211.171171172,-4591920.0000003
125,16158839.9999997,-4592498.738738739,16157640.0000003,-4592498.738738739
126,16158869.9999997,-4592478.6486486485,16157670.0000003,-4592478.6486486485
127,16158301.441441441,-4593059.9999997,16158301.441441441,-4591860.0000003
128,16158351.531531531,-4593059.9999997,16158351.531531531,-4591860.0000003
129,16158371.621621622,-4593029.9999997,16158371.621621622,-4591830.0000003
130,16158989.9999997,-4592398.288288289,16157790.0000003,-4592398.288288289
131,16158411.801801803,-4592969.9999997,16158411.801801803,-4591770.0000003
132,16158431.891891891,-4592939.9999997,16158431.891891891,-4591740.0000003
133,16158481.981981982,-4592939.9999997,16158481.981981982,-4591740.0000003
